old_name,new_name
Afghanistan,
Albania,
Algeria,
American Somoa,
Andorra,
Angola,
Anguilla,
Argentina,
Armenia,
Aruba,
Australia,
Austria,
Azerbaijan,
Bahamas,
Bahrain,
Bangladesh,
Barbados,
Belarus,
Belgium,
Belize,
Benin,
Bermuda,
Bhutan,
Bolivia,
Bosnia,
Botswana,
Brazil,
British Virgin,
Brunei,
Bulgaria,
Burkina Faso,
Burundi,
C. African Rep,central_african_republic
Cambodia,
Cameroon,
Canada,
Cape Verde,
Cayman Islands,
Chad,
Chile,
China,
Colombia,
Costa Rica,
Croatia,
Cyprus,
Czech Republic,
Dem Rep Congo,democratic_republic_of_congo
Denmark,
Djibouti,
Dominican Rep,
East Germany,
Ecuador,
Egypt,
El Salvador,
Equator Guinea,
Eritrea,
Estonia,
Ethiopia,
Fiji,
Finland,
France,
Gabon,
Gambia,
Georgia,
Germany,
Ghana,
Gibraltar,
Greece,
Guadeloupe,
Guam,
Guatemala,
Guernsey,
Guinea,
Guyana,
Haiti,
Honduras,
Hong Kong,
Hungary,
Iceland,
India,
Indonesia,
Iran,
Iraq,
Ireland-Rep,
Isle of Man,
Israel,
Italy,
Ivory Coast,
Jamaica,
Japan,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kuwait,
Kyrgyzstan,
Laos,
Latvia,
Lebanon,
Lesotho,
Liberia,
Libya,
Liechtenstein,
Lithuania,
Luxembourg,
Macau,
Macedonia,
Madagascar,
Malawi,
Malaysia,
Maldives,
Mali,
Malta,
Marshall Is,
Martinique,
Mauritania,
Mauritius,
Mexico,
Moldova,
Monaco,
Mongolia,
Montenegro,
Morocco,
Mozambique,
Myanmar(Burma),myanmar
Namibia,
Nepal,
Neth Antilles,
Netherlands,
New Zealand,
Nicaragua,
Niger,
Nigeria,
North Korea,
Norway,
Oman,
Pakistan,
Palestine,
Panama,
Papua N Guinea,
Paraguay,
Peru,
Philippines,
Poland,
Portugal,
Puerto Rico,
Qatar,
Rep of Congo,
Reunion,
Romania,
Russian Fed,
Rwanda,
San Marino,
Saudi Arabia,
Senegal,
Serbia,
Seychelles,
Sierra Leone,
Singapore,
Slovak Rep,
Slovenia,
Solomon Is,solomon_islands
Somalia,
South Africa,
South Korea,
Spain,
Sri Lanka,
St Kitts&Nevis,
St Lucia,
Sudan,
Swaziland,
Sweden,
Switzerland,
Syria,
Taiwan,
Tajikistan,
Tanzania,
Thailand,
Timor-Leste,east_timor
Togo,
Tonga,
Trinidad&Tob,
Tunisia,
Turkey,
US Virgin Is,
Uganda,
Ukraine,
United Kingdom,
United States,
Uruguay,
Utd Arab Em,
Uzbekistan,
Vanuatu,
Venezuela,
Vietnam,
Western Sahara,
Western Somoa,
Yemen,
Zaire,
Zambia,
Zimbabwe,