master_deal_no,tmanames,amanames,aupnames,source_country,destination_country,abusinessl,tbusinessl,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,source_country_questionable,comments
2970312040,Prasac MicroFin Institution,Investor Group,Investor Group,singapore,cambodia,Investor group,"Prasac Microfinance Institution Ltd is a provider of consumer lending services. The Company was founded in August 2004 and is located in Phnom Penh, Cambodia.",Other Financials,Credit Institutions,Financials,Financials,True,"Couldn't find ""Investor Group"" on S&P. Company website says it's sole shareholder is KB Financial, which is a South Korean Company. No shareholders/owners are listed on Orbis."
3009677040,Crane Bank Ltd,Dfcu Bank Ltd,Arise BV,netherlands,uganda,"Dfcu Bank Ltd is a commercial bank. The Company is located in Kampala, Uganda.","Crane Bank Ltd is a commercial bank. The Company is located in Kampala, Uganda.",Banks,Banks,Financials,Financials,True,S&P gives Capetown HQ location. Orbis gives NL HQ location. LinkedIn shows that Arise appears to have a signficant number of staff based in Netherlands. Company website lists Capetown before Amsterdam as two locations and specifies African focus.
3143738040,Azalai Hotels Group SA,Africinvest Fund III LLC,AfricInvest Tunisia SARL,singapore,mali,Africinvest Fund III LLC is a financial vehicle. The Company was founded in 1994 and is located in South Africa.,"Azalai Hotels Group SA is a hotel operator. The Company is located in Bamako, Mali.",Other Financials,Hotels and Lodging,Financials,Media and Entertainment,True,S&P give Tunisia HQ. Company LinkedIn page shows majority of staff in Tunisia.
3175887040,Mobility i Tap Pay,MobilityOne South Asia Sdn Bhd,MobilityOne Ltd,jersey,bangladesh,MobilityOne South Asia Sdn Bhd provides e-commerce infrastructure payment solutions and platforms.. The Company is located in Malaysia. is located in Malaysia.,"Mobility i Tap Pay (Bangladesh) Ltd provides mobile financial services to the banked and unbanked population through NFC Card, NFC Tag, Apps, IVR etc. The Company is a is a sister concern of Mobility Group. Having Meghna Bank Ltd. as banking partner. The Company was founded in November 2015 and is located in Dhaka, Bangladesh.",Other Financials,Other Financials,Financials,Financials,True,"S&P, Orbis, and company website give Malaysia HQ location."
3208335040,The British School Yangon,Nord Anglia Education Inc,Bach Holdings Ltd,cayman_islands,myanmar,"Nord Anglia Education Inc, located in Central, Hong Kong, owns and operates international premium schools. It teaches children from kindergarten through the end of secondary school (K-12) at its 27 premium schools in China, Europe, the Middle East and Southeast Asia (ME/SEA) and North America. As of March 11, 2014. The Company has schools by 1,980 places, developed two greenfield 3,000 places and acquired 19 schools with a total of 11,364 places. On May 22, 2013, the Company purchased 100% interest of WCL Group Limited and acquired its 11 schools in North America, the Middle East and Europe.","The British School Yangon is a school operator. The Company is located in Yangon, Myanmar.",Educational Services,Educational Services,Consumer Products and Services,Consumer Products and Services,True,"An S&P search for Nord Anglia gives Bach Financial as parent, incorporated in Caymans. S&P shows Nord Anglia HQ in HK, company website show HQ in UK."
3221106040,Pac Private Bk Ltd,Finalify Ltd,Finalify Ltd,british_virgin_islands,vanuatu,"Finalify Ltd is a commodity contracts dealer. The Company is engage in cryptocurrency exchange & trading. It operates under the brand name Bankera. The Company is located in Tortola, the British Virgin Islands.","Pacific Private Bank Ltd is a commercial bank. The Company was founded in 1997 and is located in Port Vila, Vanuatu.",Brokerage,Banks,Financials,Financials,True,"Finalify appears to be same company as Bankera, according to S&P, which appears to be Lithuania based after browing leadership team on company website and location of staff via LinkedIn. Company appears to be Lithuanian based on LinkedIn staff locations for Bankera and other news items."
3221608040,Digital Wave Money Myanmar Co,Yoma Strategic Investments Ltd,Yoma Strategic Hldg Ltd,singapore,myanmar,"Yoma Strategic Investments Ltd is a provider of financial investment services. The Company was founded in August 2004 and is located in Singapore, Singapore.","Digital Wave Money Myanmar Co Ltd is a provider of financial transactions services. It offers a wide range of mobile financial services such as digital money transfer and payment platform through its network of more than 20,000 agents across the country. The Company was founded in 2015 and is located in Yangon, Myanmar.",Other Financials,Other Financials,Financials,Financials,True,Majority of staff appear to be in Myanmar based on LinkedIn data. S&P Capital lists Headquarters as Myanmar.
3258824040,Gadnet,Soa,Overseas Sarl,luxembourg,niger,SOA is a provider of financial investment services. The Company is located in Ivory Coast.,"Gadnet is a provider of security guard and patrol services. The Company was founded in 2007 and is located in Niamey, Niger.",Other Financials,Professional Services,Financials,Consumer Products and Services,True,"Could not find reliable info, however, description provided in document says company is based in Ivory Coast."
3325168040,Nakasero Hosp Ltd,Hosp Hldg Invest BV,Hosp Hldg Invest BV,netherlands,uganda,"Hospital Holdings Investment BV is a provider of financial investment services. The Company is located in Amsterdam, the Netherlands.","Nakasero Hospital Ltd is a hospital operator. The Company is located in Kampala, Uganda.",Other Financials,Hospitals,Financials,Healthcare,True,"S&P confirms NL HQ. However, company website says HQ is in Uganda and company LinkedIn page says Kenya. Finnfund also says Kenya is headquarters."
3392664040,Banco Terra SA,Arise BV,Arise BV,netherlands,mozambique,"Arise BV is a securities brokerage company. The Company was founded in 2016 and is located in Utrecht, the Netherlands.","Banco Terra SA is a commercial bank. The Company was founded in 2008 and is located in Maputo, Mozambique.",Brokerage,Banks,Financials,Financials,True,S&P gives Capetown HQ location. Orbis gives NL HQ location. LinkedIn shows that Arise appears to have a signficant number of staff based in Netherlands. Company website lists Capetown before Amsterdam as two locations and specifies African focus.
3588372040,Apollo Towers Hldg Ltd,AP Towers Holdings Pte Ltd,AP Towers Holdings Pte Ltd,singapore,myanmar,AP Towers Holdings Pte Ltd is a wired telecommunications carrier. The Company is located in Singapore.,"Apollo Towers Holdings Ltd is a wired telecommunications carrier. The Company is one of Myanmar's largest telecommunications towers company with approximately 1,800 towers. The Company was founded in 2014 and is located in Myanmar.",Telecommunications Services,Telecommunications Services,Telecommunications,Telecommunications,True,"Very difficult to ascertain true parent. However, the purchases of AP Towers Myanmar by AP Towers Holding Singapore seems like a tax optimization transaction. S&P gives Singapore address."
