master_deal_no,dateann,tmanames,amanames,a_lockup_pct,a_postmerge_own_pct,aacount,advcount,afinancial,albofirm,alp,amv,aspv,attitude,attitude_change_yn,awk,buyside_hedge_fund_involv_yn,cha,compete,comsoughtt,dateannest,dateannorig,dateeff,debt_tndr,datefin,divest,division,datetender,dateuncon,datewith,form,hedge_fund_involv_yn,mv,alegcount,tlegcount,pct_cash,pct_other,pct_stk,pct_unknown,pctacq,pctown,phda,pheld,psought,psoughtown,psoughtt,pten,rd,recap,repurch,restruct,rumor,sbo,sfbor,sfbridge,sfcom,sfcorp,sfdebt,sffor,sfjunk,sflc,sfmez,sfpfd,sfrights,sfstaple,spin,splitoff,status,statuscode,stender,t_postmerge_own_pct,tacount,tender,tm,rankval,r_date,valbridge,valest,votecontrol,acusip,acquiror_sedol,aip,aipnames,aup,aupnames,aupnation,master_cusip,target_sedol,tip,tipnames,tup,tupnames,aupsedol,tupsedol,atf_mid_desc,ttf_mid_desc,atf_macro_desc,ttf_macro_desc,anation,anationcode,tnation,tnationcode,tpublic,apublic,tsicp,tticker,deal_value,entval,eqval,pr,salesltm,ebitltm,ptincltm,niltm,netass,tass,cashflow,bookvalue,commonequity,epsltm,pe,tfeetot,afeetot,feetot,c1day,c1wk,c4wk,rankvalsales,rankvaleb,rankvalcf,rankvalni,evsales,evebit,evcf,evni,eqvalsales,eqvalebit,eqvalcf,eqvalni,pmday,pmwk,pm4wk,abusinessl,tbusinessl,sftype,consid,considoff,considsought,destination_country,source_country,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
3239795040,2018-04-27,Zambia Emco Power Stn Co Ltd,Wuhuan Engineering Co Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-04-27,,N,,No,No,,,,Acq. Part. Int.,No,,,,,100.0,,,,,,,49.0,49.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Pending,P,No,,,No,No,53.1,2018-04-27,,No,,3H9327,,16940I,China Natl Chem Engineering,17419X,China Natl Chem Engineering,China (Mainland),3H9329,,3H9333,Netherlands Emco Energy CO LTD,3H9330,Netherlands Emco Hldg Co Ltd,,,Building/Construction & Engineering,Alternative Energy Sources,Industrials,Energy and Power,China,CH,Zambia,ZA,Sub.,Sub.,499A,,53.1,108.367,108.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wuhuan Engineering Co Ltd is a provider of engineering services. The Company was founded in 1958 and is located in Wuhan, China.",Zambia Emco Power Station Co Ltd is an alternative energy sources establishment. The Company is located in Zambia.,,,"Cash, Cash Only",Stock,zambia,china,False,False,False,False,True,False,alternative_energy_sources,False,False,2018
3244475040,2018-05-15,Zamsort Ltd,Arc Minerals Ltd,,,1.0,1.0,No,No,No,,No,Neutral,No,No,No,No,,,No,2018-05-15,2018-05-15,N,,No,No,,2018-05-15,,Acq. Part. Int.,No,,,,,100.0,,,35.0,49.0,14.0,14.0,35.0,49.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,3.736,2018-05-15,,No,,4H2345,BFWJ980,4H2345,Arc Minerals Ltd,4H2345,Arc Minerals Ltd,United Kingdom,4H2341,,4H2341,Zamsort Ltd,4H2341,Zamsort Ltd,BFWJ980,,Metals & Mining,Metals & Mining,Materials,Materials,United Kingdom,UK,Zambia,ZA,Priv.,Public,1021,,3.736,10.652,10.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arc Minerals Ltd is a metal mining company. The Company is engaged in the identification, evaluation, acquisition and development of natural resource projects, located in Europe and Africa. The Company provides an investments to develop projects like gold, copper and cobalt segments. The Company was founded in April 2007 and is located in London, the United Kingdom.",Zamsort Ltd is a copper and nickel ore mine operator. The Company is located in Zambia.,,,Newly Issued Ord Sh,Stock,zambia,united_kingdom,False,False,False,True,False,False,metals_and_mining,True,True,2018
3270915040,2018-04-30,Capital Fisheries Ltd,Agri-Vie Fund II,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-05-21,2018-04-30,N,,No,No,,2018-04-30,,Acq. Part. Int.,No,,,,,100.0,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,6.4,2018-04-30,,No,,5H8268,,5H8265,Exeo Capital,5H8265,Exeo Capital,South Africa,5H8280,,5H8280,Capital Fisheries Ltd,5H8280,Capital Fisheries Ltd,,,Other Financials,Food and Beverage,Financials,Consumer Staples,South Africa,SA,Zambia,ZA,Priv.,Sub.,5146,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agri-Vie Fund II is a private equity fund focused on food and agribusiness investments. The Company is located in Bellville, South Africa.","Capital Fisheries Ltd is a fish and seafood wholesaler. The Company is located in Lusaka, Zambia.",,,"Cash, Cash Only",Stock,zambia,south_africa,False,False,False,False,True,False,food_and_beverage,False,False,2018
3271446040,2018-05-15,Zamsort Ltd,Arc Minerals Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-05-15,2018-06-18,N,,No,No,,2018-06-18,,Acq. Maj. Int.,No,,,,,,,,31.0,66.0,35.0,35.0,31.0,66.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-05-15,,No,,4H2345,BFWJ980,4H2345,Arc Minerals Ltd,4H2345,Arc Minerals Ltd,United Kingdom,4H2341,,4H2341,Zamsort Ltd,4H2345,Zamsort Ltd,BFWJ980,,Metals & Mining,Metals & Mining,Materials,Materials,United Kingdom,UK,Zambia,ZA,Priv.,Public,1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arc Minerals Ltd is a metal mining company. The Company is engaged in the identification, evaluation, acquisition and development of natural resource projects, located in Europe and Africa. The Company provides an investments to develop projects like gold, copper and cobalt segments. The Company was founded in April 2007 and is located in London, the United Kingdom.",Zamsort Ltd is a copper and nickel ore mine operator. The Company is located in Zambia.,,,Newly Issued Ord Sh,Stock,zambia,united_kingdom,False,False,False,True,False,False,metals_and_mining,True,True,2018
3278287040,2018-08-13,CEC Liquid TeleCommun Ltd,LIQUID Telecommun Hldg Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-08-13,2019-07-16,N,,Yes,No,,2019-07-16,,Acq. Rem. Int.,No,,,,,,,,50.0,100.0,50.0,50.0,50.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-08-13,,No,,6F6071,,27895W,Econet Wireless Zimbabwe Ltd,27895W,Econet Wireless Zimbabwe Ltd,Zimbabwe,7C9471,,21669T,Copperbelt Energy Corp PLC,9A4294,Zambian Energy Corp Ltd,B05HV13,,Telecommunications Services,Telecommunications Services,Telecommunications,Telecommunications,Mauritius,MV,Zambia,ZA,J.V.,Sub.,4812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIQUID Telecommunications Holdings Ltd is a wired telecommunications carrier. The Company was founded in January 2007 and is located in Ebene, Mauritius.","CEC Liquid Telecommunications Ltd, located in Lusaka, Zambia, provides telecommunications services. It subsidiary Hai Telecommunications Ltd services.",,,Unspecified,Stock,zambia,zimbabwe,False,False,False,False,True,True,telecommunications_services,False,False,2018
3285835040,2018-09-07,Intrepid Mines Zambia Ltd,Vulcan Copper Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-09-07,2019-02-14,N,,Yes,No,,2019-02-14,,Merger,No,,,,,100.0,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,5.0,2018-09-07,,No,,6H7138,,6H7136,Cnsoldatd Mning & Invtmnt Ltd,6H7136,Cnsoldatd Mning & Invtmnt Ltd,United Kingdom,9F1331,,46389Q,Intrepid Mines Ltd,46389Q,Intrepid Mines Ltd,,BK9PVF7,Metals & Mining,Metals & Mining,Materials,Materials,United Kingdom,UK,Zambia,ZA,Sub.,Sub.,1021,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vulcan Copper Ltd is engaged in the non ferrous metals services business. The Company was founded in June 2011 and is located in London, the United Kingdom.",Intrepid Mines Zambia Ltd is a copper mine operator. The Company holds interest in the Mumbwa and Kitumba Copper projects. The Company is located in Zambia.,,,"Cash, Cash Only",Stock,zambia,united_kingdom,False,False,False,True,False,False,metals_and_mining,True,True,2018
3315231040,2018-10-02,L&T Logistics Ltd,Vector Logistics (Pty) Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-10-02,2018-10-02,N,,No,No,,2018-10-02,,Acq. Part. Int.,No,,1.0,,,,,,45.0,45.0,,,45.0,45.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-10-02,,No,,92156A,,7A3795,RCL Foods Ltd,75977R,Remgro Ltd,South Africa,8H5488,,8H5488,L&T Logistics Ltd,8H5488,L&T Logistics Ltd,6290689,,Food & Beverage Retailing,Motion Pictures / Audio Visual,Retail,Media and Entertainment,South Africa,SA,Zambia,ZA,Priv.,Sub.,3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vector Logistics (Pty) Ltd is a specialty food retailer. The Company is located in Cape Town, South Africa.",L&T Logistics Ltd is a producer and distributor of records. The Company is located in Zambia.,,,Unspecified,Stock,zambia,south_africa,False,False,False,False,True,False,motion_pictures___audio_visual,False,False,2018
3325468040,2018-01-03,Undisclosed Indep Power,CDC Group PLC,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-01-03,2018-01-03,N,,No,No,,2018-01-03,,Acq. of Assets,No,,1.0,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-01-03,,No,,12850N,,91078L,Dept For Intl Dvlp,910768,UK Of Great Britain & Northen,United Kingdom,9H2545,,9H2545,Undisclosed Indep Power,9H2545,Undisclosed Indep Power,,,Asset Management,Alternative Energy Sources,Financials,Energy and Power,United Kingdom,UK,Zambia,ZA,Priv.,Sub.,499A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CDC Group PLC located in London, the United Kingdom, provides financial services. The Company is engaged in an investment firm specializing direct and fund of funds investments. It seeks to invest in equity, mezzanine, debt and guarantees, both, directly and throughof fund investments and intermediaries. It invests in businesses of all sizes. Within fund of fund, it seeks to invest in expansion capital, early stage, venture capital, and private equity funds. The Company was founded in 1948. was founded in 1948.",Undisclosed Independent Power Producer is an alternative energy sources establishment. The Company is located in Zambia.,,,Unspecified,Assets,zambia,united_kingdom,False,False,False,True,False,False,alternative_energy_sources,False,True,2018
3325481040,2018-01-04,Tradekings Zambia Ltd-Soap,Henkel AG & Co KGaA,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-01-04,2018-01-04,N,,No,Yes,,2018-01-04,,Acq. Part. Int.,No,,1.0,,,100.0,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,40.0,2018-01-04,,No,,42550Z,5076705,42550Z,Henkel AG & Co KGaA,42550Z,Henkel AG & Co KGaA,Germany,9H2572,,9H2566,Tradekings Zambia Ltd,9H2566,Tradekings Zambia Ltd,5076705,,Chemicals,Household & Personal Products,Materials,Consumer Staples,Germany,WG,Zambia,ZA,Sub.,Public,2841,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henkel AG & Co KGaA, located in Duesseldorf, Germany, is a manufacturer of consumer goods and adhesive. The Company is engaged in the consumer and industrial business, operating in two segments: Adhesive Technologies and Consumer Brands. It operates in the regions of Europe, IMEA (India, Middle East, Africa), North America, Latin America and Asia-Pacific. The Company's Adhesive Technologies business segment covers adhesives, sealants and functional coatings, providing solutions for Mobility & Electronics, Packaging & Consumer Goods and Craftsmen, Construction & Professional under brands such as Loctite, Bonderite, Aquence and Technomelt. The Consumer Brands business segment focuses on the two global categories Laundry & Home Care and Hair. In this segment, the Company offers branded consumer goods in laundry and home care products and hair care, it also operates in hair professional business. Its portfolio includes brands such as Persil, Schwarzkopf, Dial, Purex, got2b and Palette. The Company was founded in September 28, 1876.","Soap manufacturing & home care business of Tradekings Zambia Ltd, located in Zambia.",,,"Cash Only, Cash Only",Ownership Interest,zambia,germany,False,False,False,True,False,False,household_and_personal_products,False,False,2018
3327513040,2018-12-18,Zambian Breweries-Coca Cola,Coca-Cola Beverages Africa Pty,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-12-18,2018-12-18,N,,Yes,Yes,,2018-12-18,,Acq. of Assets,No,,1.0,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-12-18,,No,,9E4726,,191216,Coca-Cola Co,191216,Coca-Cola Co,United States,9H4399,,98900P,Zambian Breweries PLC,03500W,Anheuser-Busch Inbev SA/NV,2206657,BYYHL23,Food and Beverage,Food and Beverage,Consumer Staples,Consumer Staples,South Africa,SA,Zambia,ZA,Sub.,Sub.,2082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coca-Cola Beverages Africa Pty Ltd is a manufacturer of soft drinks. The Company serves12 countries, employing 12,000 people and account for 40 per cent of the total Coca-Cola beverage volume consumed in Africa. The Company will initially produce and distribute Coca-Cola beverages in South Africa, Kenya, Ethiopia, Mozambique, Tanzania, Uganda, Namibia, Comoros and Mayotte. The Company was founded in 2016 and is located in Port Elizabeth, South Africa.","Coca cola bottling business of Zambian Breweries Plc, located in Zambia.",,,Unspecified,Assets,zambia,united_states,False,False,False,True,False,False,food_and_beverage,False,False,2018
3356085040,2018-11-20,Fairy Bottling Zambia Ltd,Coca-Cola Beverages Africa Pty,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-11-20,2019-02-04,N,,No,No,,2019-02-04,,Merger,No,,1.0,,,,,,100.0,100.0,,,100.0,100.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,,2018-11-20,,No,,9E4726,,191216,Coca-Cola Co,191216,Coca-Cola Co,United States,2H8985,,2H8985,Fairy Bottling Zambia Ltd,2H8985,Fairy Bottling Zambia Ltd,2206657,,Food and Beverage,Food and Beverage,Consumer Staples,Consumer Staples,South Africa,SA,Zambia,ZA,Priv.,Sub.,2086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coca-Cola Beverages Africa Pty Ltd is a manufacturer of soft drinks. The Company serves12 countries, employing 12,000 people and account for 40 per cent of the total Coca-Cola beverage volume consumed in Africa. The Company will initially produce and distribute Coca-Cola beverages in South Africa, Kenya, Ethiopia, Mozambique, Tanzania, Uganda, Namibia, Comoros and Mayotte. The Company was founded in 2016 and is located in Port Elizabeth, South Africa.","Fairy Bottling Zambia Ltd is a brewery. engages in preparation, packaging, distribution, promotion, and sale of non-alcoholic ready to drink (NARTD) beverages under the Royal Cream Soda, Aqua Savanna, Volcano, and Thunderlight brandsThe Company is located in Lusaka, Zambia.",,,Unspecified,Stock,zambia,united_states,False,False,False,True,False,False,food_and_beverage,False,False,2018
3358871040,2018-03-02,Diamond Gen Ins Ltd,Aprica Invests Co Ltd,,,,,No,No,No,,No,Friendly,No,No,No,No,,,No,2018-03-02,2018-03-02,N,,No,No,,2018-03-02,,Acq. Maj. Int.,No,,,,,100.0,,,80.0,80.0,,,80.0,80.0,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N,No,N,No,No,No,Completed,C,No,,,No,No,1.8,2018-03-02,,No,,1J3047,,1J3047,Aprica Invests Co Ltd,1J3047,Aprica Invests Co Ltd,Mauritius,1J3045,,1J3045,Diamond Gen Ins Ltd,1J3045,Diamond Gen Ins Ltd,,,Other Financials,Insurance,Financials,Financials,Mauritius,MV,Zambia,ZA,Priv.,Priv.,6411,,1.8,2.25,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aprica Investments Co LTD is a provider of financial investment services. The Company was founded in 2014 and is located in Ebene, Mauritius.",Diamond General Insurance LTD is an insurance agency. The Company was founded in 1970 and is located in Zambia.,,,"Cash, Cash Only",Stock,zambia,mauritius,True,False,False,False,True,False,insurance,False,False,2018
