country,year,prop_emne_capital,prop_emne_capital_excl_nat_res,prop_emne_capital_excl_col_link,prop_emne_cap_excl_qst_src,colonial_link,geographic_proximity,broadband_per_capita,control_of_corruption,gni_per_capita,govt_effectiveness,mobiles_per_capita,phones_per_capita,pol_stability,reg_quality,rule_of_law,voice_and_acc
afghanistan,2018,0.5922266139657444,0.5922266139657444,0.5922266139657444,0.5922266139657444,False,True,0.0257279,-1.531909704,,-1.388972163,67.13641492,0.333,-2.794973612,-1.369762778,-1.583736897,-0.990814269
angola,2018,0.0,0.0,0.0,0.0,False,False,0.320554,-1.444333076,2726.374551,-0.951664865,44.10644535,0.533,-0.389134824,-1.045097113,-1.039731503,-1.094524503
bangladesh,2018,0.3790123223822013,0.3790123223822013,0.3427207541893862,0.3790123223822013,True,True,4.50131,-0.858938634,,-0.75189054,93.29458051,0.436,-1.253626704,-0.826628149,-0.681922019,-0.615030944
benin,2018,0.8259493670886076,0.8259493670886076,1.0,0.8259493670886076,True,True,0.23767,-0.577509105,1060.511835,-0.697799921,75.65070229,0.472,0.026251886,-0.523228943,-0.644662261,0.381144017
bhutan,2018,1.0,1.0,1.0,1.0,False,False,2.2148,1.529062629,2938.013369,0.563984692,96.62766062,2.83,1.102793097,-0.339257926,0.63007921,0.010954513
burkina_faso,2018,0.9247380481385926,0.9247380481385926,0.9247380481385926,0.9247380481385926,False,False,0.062133,-0.138816744,645.4900535,-0.63903302,90.47440751,0.382,-0.927885592,-0.480564415,-0.414195448,0.064944439
burundi,2018,0.0,0.0,0.0,0.0,False,False,0.0340148,-1.31923759,278.126333,-1.382489681,53.073037,0.203,-2.002573967,-0.871142566,-1.41499579,-1.575841904
cambodia,2018,0.7465743215150115,0.7246655356141203,0.7465743215150115,0.7354285999568237,False,True,0.831394,-1.317361832,1236.66909,-0.696423292,117.3225889,0.827,0.093508989,-0.521386206,-1.07539475,-1.15467155
central_african_republic,2018,1.0,1.0,1.0,1.0,False,False,0.0129133,-1.200072527,387.622583,-1.793202519,23.52311236,0.0439,-1.993532181,-1.500687957,-1.761831522,-1.106176853
chad,2018,1.0,1.0,1.0,1.0,False,False,0.0021187,-1.458002687,650.4143967,-1.510803461,42.21562356,0.0555,-1.286392093,-1.23040843,-1.321412563,-1.371380925
comoros,2018,,,,,,,0.217268,-0.71099925,1366.859479,-1.678573728,61.56441686,2.27,0.022407399,-1.104941845,-1.107463121,-0.335755855
democratic_republic_of_congo,2018,0.9500330594124872,0.9419765273664584,0.9500330594124872,0.947399821020185,False,False,0.00114832,-1.446218252,465.6979878,-1.66798234,41.97184654,0,-2.339438915,-1.486596823,-1.71502316,-1.465801239
djibouti,2018,0.1542416452442159,0.0,1.0,0.1542416452442159,True,False,2.3121,-0.671873569,2624.575192,-1.087286115,35.86235007,3.47,-0.733945012,-0.690780044,-0.93407172,-1.406437516
east_timor,2018,0.0,0.0,,0.0,True,False,0.267316,-0.566189468,1827.554808,-1.003521681,125.2075432,0.19,0.06638208,-0.746640623,-1.176247716,0.343246967
eritrea,2018,,,,,,,0.0317425,-1.232174397,,-1.799359441,20.45963226,2.1,-0.733444393,-2.182853937,-1.598842502,-2.166185856
ethiopia,2018,0.2901297535498613,0.3106698249523293,0.2901297535498613,0.2860168427922389,False,True,0.0574013,-0.582520843,711.4603578,-0.760963619,36.59958437,1.08,-1.677229643,-1.032468319,-0.471185684,-1.432525396
gambia,2018,0.0,0.0,0.0,0.0,True,False,0.17078,-0.65736568,606.9373815,-0.745486438,124.5599874,1.37,-0.094831444,-0.511013925,-0.455021232,-0.622010767
guinea,2018,0.973280748034581,0.9480367755371564,0.973280748034581,0.973280748034581,False,False,0.00909923,-1.038001418,874.3338056,-1.08643198,95.58208181,0,-0.69907409,-0.866547704,-1.254833937,-0.73942852
guinea_bissau,2018,,,,,,,0.0454431,-1.597468257,683.3734454,-1.807464123,76.32738349,0,-0.497683495,-1.224064589,-1.471865296,-0.79739213
haiti,2018,1.0,1.0,1.0,1.0,False,False,0.276397,-1.259292126,1432.527316,-2.130574226,58.04608514,0.0547,-0.676077306,-1.353159189,-1.09687674,-0.736969054
kiribati,2018,,,,,,,0.0922885,0.417874157,,-0.06213117,38.32023396,0.636,0.855434954,-0.815004408,0.600542307,1.047766685
laos,2018,0.8989608686670918,0.8980728982631622,0.8989608686670918,0.8989608686670918,False,True,0.387809,-0.967064977,,-0.416994154,53.04168369,16,0.394011855,-0.751458883,-0.90471828,-1.75141418
lesotho,2018,0.0153940886699507,0.0367647058823529,0.0153940886699507,0.0153940886699507,False,True,0.223493,-0.058279932,1229.094273,-0.925521493,109.6832836,0.493,-0.194125235,-0.382606447,-0.299606234,-0.008935785
liberia,2018,1.0,1.0,1.0,1.0,False,False,0.185608,-0.687493205,,-1.365272641,55.45558956,,-0.320534796,-0.983210862,-0.97061491,0.042723432
madagascar,2018,0.8417221036776704,0.8417221036776704,0.8417221036776704,0.8651786866210811,False,False,0.0935555,-1.074516296,453.2425219,-1.195470214,33.36129841,0.257,-0.30283758,-0.737336755,-0.878510773,-0.345090419
malawi,2018,1.0,1.0,1.0,1.0,False,False,0.0599566,-0.68725425,,-0.726111114,43.46753766,0.0961,-0.249828547,-0.791547,-0.394216031,-0.030692024
mali,2018,0.8333847577908052,0.8333847577908052,0.8333847577908052,0.8333847577908052,False,False,0.0777267,-0.6660133,731.9551873,-0.964599192,114.0992437,1.08,-1.903490663,-0.616949379,-0.793805599,-0.211932972
mauritania,2018,,,,,,,0.300123,-0.77436024,1569.571845,-0.80409348,97.93613675,1.36,-0.629497826,-0.82117039,-0.619425774,-0.801386774
mozambique,2018,0.1084810382017981,0.1140327573104653,0.1157672236439359,0.1084810382017981,True,True,0.218846,-0.85798502,591.6294065,-0.95836705,41.56716262,0.286,-0.917248428,-0.772097945,-1.008332849,-0.419679195
myanmar,2018,0.8779262528175916,0.8649895548669271,0.8779262528175916,0.8620424495087794,False,True,0.214986,-0.590761244,,-1.087967515,91.69666523,1.07,-1.084094286,-0.841920257,-0.959706306,-0.864633381
nepal,2018,0.3421334284694969,0.3421334284694969,0.3421334284694969,0.3421334284694969,False,True,1.79644,-0.776277244,956.1383911,-0.942965806,128.0766788,3.07,-0.5841012,-0.740814745,-0.694215536,-0.19951579
niger,2018,0.0,0.0,0.0,0.0,False,False,0.0403537,-0.688091576,512.8803166,-0.754891455,40.38511133,0.533,-1.259505153,-0.726772189,-0.70625025,-0.430217505
rwanda,2018,0.1499824376536705,0.1499824376536705,0.1613146958821307,0.1622957050551121,True,False,0.178494,0.607264578,744.9464074,0.178770423,72.10934219,0.101,0.078270361,0.08438345,0.116847567,-1.120504379
sao_tome_and_principe,2018,,,,,,,0.714596,0.152436048,,-0.8470487,83.62158473,2.69,0.183460847,-0.894111037,-0.726939261,0.298387945
senegal,2018,0.0161140378060117,0.0161140378060117,0.0316109422492401,0.0161140378060117,True,False,0.722423,-0.114238143,1301.227556,-0.365349919,103.9621401,1.88,-0.055723127,-0.193443179,-0.169250667,0.317168027
sierra_leone,2018,0.0,,0.0,0.0,False,False,,-0.590534508,600.813629,-1.221212745,86.29036859,0.23,-0.039427098,-0.952105999,-0.807308137,-0.194167793
solomon_islands,2018,,,,,,,0.170052,0.095240965,2166.601875,-0.928836346,72.29745476,1.08,0.188087985,-0.815379918,-0.190316245,0.489998966
somalia,2018,0.9399494310998736,0.9399494310998736,1.0,0.9399494310998736,True,False,0.656985,-1.70943439,,-2.258919239,47.89352903,,-2.249909878,-2.201314449,-2.263080597,-1.778314114
south_sudan,2018,,,,,,,0.00194948,-1.75134778,,-2.439962626,26.16695311,0,-2.446235657,-1.94608295,-1.97194159,-1.823847532
sudan,2018,1.0,1.0,1.0,1.0,False,False,0.0715194,-1.560215473,,-1.476141453,70.41361876,0.335,-1.971524239,-1.58541584,-1.125489712,-1.839118361
tanzania,2018,0.6333659354478133,0.6281706107411081,0.6607871720116618,0.6333659354478133,True,True,1.37184,-0.487049073,973.3712158,-0.682943881,71.00758398,0.228,-0.570162177,-0.610303104,-0.469080985,-0.278151184
togo,2018,1.0,1.0,1.0,1.0,False,False,0.627394,-0.736028314,795.0471863,-1.166029096,77.29610922,0.448,-0.874444485,-0.833923459,-0.732762277,-0.624594212
tuvalu,2018,,,,,,,4.14022,0.069424003,,-0.694827735,73.88252678,18.4,1.213737011,-0.778954983,0.63725251,1.0805583
uganda,2018,0.6617362348021373,0.6617362348021373,0.6648943068343923,0.6575371106000419,True,True,,-1.069670916,851.2918872,-0.632896423,62.17465834,0.653,-0.569948792,-0.262065619,-0.319819033,-0.588405192
vanuatu,2018,,,,,,,,0.0038484,2808.606256,-0.966169059,78.56146142,1.62,0.676284015,-0.31364423,0.544383764,0.694656551
yemen,2018,,,,,,,1.11512,-1.617752194,,-1.952666759,51.13427811,3.6,-2.934315443,-1.489440441,-1.765303373,-1.691050649
zambia,2018,0.9254741218694228,0.9235975409514312,0.947598370194565,0.9254741218694228,True,True,0.205902,-0.56772095,,-0.700921834,77.68815498,0.582,0.142042592,-0.515828371,-0.33975932,-0.335553706
